SMILES,Min_PE
Clc1ccccc1Cl,-1324.60123
Clc1ccccc1Cl,-1324.60122
O=C1Nc2cccc3cccc1c23,-1926.5991399999998
Clc1ccc(C=O)cc1,-1488.96214
C[Si](C)(C)N[Si](C)(C)C,-1386.04716
Clc1ccccc1Cl,-1324.60121
Cc1cccc(C=C)c1,-1239.92587
CCC1CCC(CCC(O)=O)C1,-2063.49747
CC(C)=CCC\C(C)=C/CO,-1766.64912
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-2930.75271
CC(C)(C)C1CCC(CC1)OC(=O)C=C,-2485.10845
CN(C)c1ccc(C=O)cc1,-1734.73475
CC(=O)OC(C)(C)Cc1ccccc1,-2281.38575
Cc1cccc(C)c1O,-1413.2329
CC(C)(C)c1ccc(OCC2CO2)cc1,-2429.12752
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3787.4417299999996
CC(C)=CCC\C(C)=C/CO,-1766.79485
CC(Oc1ccc(Cl)cc1C)C(O)=O,-2530.01835
FC(F)(F)c1cccc(Cl)c1,-2578.2961800000007
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-2806.72688
CC(C)CCCCCOC(=O)CCS,-2416.9762100000007
CC(C)=C1CCC(=CC1)C,-1444.6346199999994
CCNCC(O)c1cccc(O)c1,-2207.6794600000007
ClCc1ccc(Cl)cc1Cl,-1728.22648
CO[Si](OC)(C1CCCC1)C2CCCC2,-2492.86082
CC1(C)C2CCC(=C)C1C2,-1443.7709
O=C1CCCCCCCCCCCC(=O)OCCO1,-3375.6614200000013
CCCCCCCCCCCCOC(=O)C(C)O,-3135.22015
CCCCC,-776.83898
CC\C=C\C,-749.19085
CCCCCC1C(CCC1=O)CC(=O)OC,-2781.0796
NO,-520.95076
CCCCCC1C(CCC1=O)CC(=O)OC,-2781.15725
C=CC(=O)OCCOc1ccccc1,-2398.0646699999998
OC(=O)CCCCCCCCC=C,-2212.6761699999997
CC(C)CCCCCCc1ccc(O)cc1,-2462.7458899999997
CC(=C)c1cccc(c1)C(C)=C,-1662.13243
[Mo],-187.81216
CC(C)(C)CCCCCC(=O)OC=C,-2362.34738
CC(C)=CCCC(=C)C=C,-1443.53781
Cc1ccc(cc1)C(C)(C)C,-1567.68714
OC(=O)C1CCCCC1,-1613.6449599999999
CC(C)=C1CCC(=CC1)C,-1444.63623
Cc1ccc(cc1)C(C)(C)C,-1567.6910699999999
C1CN(CCO1)Sc2sc3ccccc3n2,-2533.47231
CCCN(CCC)C(=O)SCC,-2021.39619
C1CC(CCC1COCC2CO2)COCC3CO3,-3222.35988
[nH]1ccc2ccccc12,-1262.76876
C=COC(=O)c1ccccc1,-1803.1050300000002
COC(=O)c1ccc(cc1)C(C)(C)C,-2281.03045
Cc1cccc(CC(C)(C)CO)c1,-2012.94362
CCCN(CCC)C(=O)SCC,-2021.4459100000001
CC(=O)OC\C=C(C)/CCC=C(C)C,-2335.16973
CC(=O)OC\C=C(C)/CCC=C(C)C,-2335.1770699999997
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,-1889.0369899999998
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,-1889.0389
NO,-520.9508
CC1CC(=O)CC(C)(C)C1,-1617.8812699999999
CCOC(=O)CC(C)CC(C)(C)C,-2240.19412
C=CC(=O)OCCOc1ccccc1c2ccccc2,-3188.84013
CC(=C)C1CCC(=CC1)C,-1444.40075
CC1=CC[C@H]2C[C@@H]1C2(C)C,-1443.88882
CC1=CCC2CC1C2(C)C,-1443.89075
CC(C)(C)c1ccc(cc1)C(O)=O,-2131.523010000001
CCOC(=O)CC(C)CC(C)(C)C,-2240.30303
CSSC,-680.5061599999998
CCOC(=O)CC(C)CC(C)(C)C,-2240.30507
CCc1ccc(C)nc1,-1317.59271
CC(C)CCCCCCO,-1671.90777
CC(=C)C(=O)OCCOc1ccccc1,-2548.22246
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4214.606870000001
CF,-628.7452599999998
